,Device: Bubble Blower Fan,,,Total Cost,Total Print time (hr),Total filament (g),,,,,,
,Version: V1.0,Date Created: 2022-Aug-02,, $5.74 ,0.00,0,,,,,,
,Commercial Parts,,,,,,,,,,,
ID,Description,P/N,Supplier,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,Link,,,
1,Play Day Bubble Blower Fan,,Walmart,1,1, $4.48 , $4.48 , $4.48 ,https://www.walmart.com/ip/Play-Day-Bubble-Blower-Fan-Blue-Battery-Operated-Bubble-Maker/453931321,,,
2,"Jack, Mono, 3.5 mm",MJ-3507,Digikey,1,1, $1.26 , $1.26 , $1.26 ,https://www.digikey.ca/en/products/detail/cui-devices/MJ-3507/2160900,,,
3,"Wire, 8 cm",n/a,,2,1,, $-   , $-   ,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,
,Part,Description,,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,
,n/a,,,,, $-   ,,,,,,
,,,,,Total Print Cost:, $-   ,,,,,,
,Tools for Assembly,,,,,,,,,,,
,"Screwdriver, Phillips, Small",,,,,,,,,,,
,Soldering Iron,,,,,,,,,,,
,Solder sucker OR De-solder tape,,,,,,,,,,,
,Hot Glue gun,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
,Part and description,Link,,,,,,,,,,
